; GeoPIXE tabulated mass attenuation coefficients.
; Total photoelectric cross sections from the EGSnrc distribution
; of the Sabbatucci & Salvat renormalized MCDF calculation
; (HEN_HOUSE/data/photo_shellwise.data), converted from
; barns/atom to cm^2/g via mu/rho = sigma N_A 1e-24 / A.
; Photoabsorption only; excludes coherent/incoherent scattering.
; As distributed by EGSnrc the grid starts at 1 keV, so this set
; does NOT cover the sub-keV region.
;
Dataset    SabbatucciSalvat2016
Reference  L. Sabbatucci, F. Salvat, Radiat. Phys. Chem. 121 (2016) 122-140
Quantity   photoelectric mass attenuation coefficient
Units      keV cm2/g
Elements   92
;
; Edge discontinuities are encoded as repeated abscissae:
; two rows with identical energy bracket a jump. Never
; interpolate across such a pair.
;
Element    H     1     1.007900
Range      1.000000E+00 1.000000E+06
Npoints    158
Data
  1.100000E+02  7.844190E-06
  1.172600E+02  6.321503E-06
  1.250000E+02  5.102285E-06
  1.400000E+02  3.491791E-06
  1.500000E+02  2.774930E-06
  1.620190E+02  2.146371E-06
  1.750000E+02  1.666673E-06
  1.870830E+02  1.338893E-06
  2.000000E+02  1.076974E-06
  2.200000E+02  7.912572E-07
  2.345210E+02  6.444440E-07
  2.500000E+02  5.260730E-07
  2.738610E+02  3.941925E-07
  2.866330E+02  3.421739E-07
  3.000000E+02  2.976706E-07
  3.240370E+02  2.352481E-07
  3.367680E+02  2.093742E-07
  3.500000E+02  1.865651E-07
  3.741660E+02  1.530421E-07
  3.868670E+02  1.388225E-07
  4.000000E+02  1.260547E-07
  4.242640E+02  1.064762E-07
  4.500000E+02  9.020182E-08
  4.743420E+02  7.793968E-08
  5.000000E+02  6.752377E-08
  5.244040E+02  5.942294E-08
  5.500000E+02  5.241095E-08
  5.744560E+02  4.682047E-08
  6.000000E+02  4.190117E-08
  6.235740E+02  3.802197E-08
  6.480740E+02  3.455516E-08
  6.735370E+02  3.146721E-08
  7.000000E+02  2.870740E-08
  7.483310E+02  2.455182E-08
  7.737350E+02  2.274304E-08
  8.000000E+02  2.109299E-08
  8.485280E+02  1.851508E-08
  9.000000E+02  1.631331E-08
  9.486830E+02  1.460603E-08
  1.000000E+03  1.311348E-08
  1.048810E+03  1.192122E-08
  1.100000E+03  1.086041E-08
  1.172600E+03  9.612857E-09
  1.250000E+03  8.541281E-09
  1.322880E+03  7.711743E-09
  1.400000E+03  6.980935E-09
  1.500000E+03  6.203515E-09
  1.558930E+03  5.815144E-09
  1.620190E+03  5.456879E-09
  1.683840E+03  5.126764E-09
  1.750000E+03  4.821670E-09
  1.870830E+03  4.342965E-09
  2.000000E+03  3.921779E-09
  2.097620E+03  3.651576E-09
  2.200000E+03  3.403895E-09
  2.345210E+03  3.102909E-09
  2.500000E+03  2.833939E-09
  2.738610E+03  2.496452E-09
  3.000000E+03  2.207246E-09
  3.240370E+03  1.992891E-09
  3.500000E+03  1.802700E-09
  3.741660E+03  1.654847E-09
  4.000000E+03  1.521077E-09
  4.500000E+03  1.314232E-09
  5.000000E+03  1.156120E-09
  5.500000E+03  1.031470E-09
  6.000000E+03  9.307582E-10
  6.480740E+03  8.505864E-10
  7.000000E+03  7.781645E-10
  8.000000E+03  6.681663E-10
  9.000000E+03  5.851930E-10
  1.000000E+04  5.204188E-10
  1.100000E+04  4.684725E-10
  1.250000E+04  4.073739E-10
  1.400000E+04  3.603083E-10
  1.500000E+04  3.345172E-10
  1.750000E+04  2.836963E-10
  2.000000E+04  2.462449E-10
  2.200000E+04  2.227061E-10
  2.500000E+04  1.947649E-10
  3.000000E+04  1.610629E-10
  3.500000E+04  1.372931E-10
  4.000000E+04  1.196313E-10
  4.500000E+04  1.059926E-10
  5.000000E+04  9.514368E-11
  5.500000E+04  8.630848E-11
  6.000000E+04  7.897391E-11
  7.000000E+04  6.750030E-11
  8.000000E+04  5.893666E-11
  9.000000E+04  5.230097E-11
  1.000000E+05  4.700808E-11
  1.100000E+05  4.268775E-11
  1.250000E+05  3.751583E-11
  1.400000E+05  3.346150E-11
  1.500000E+05  3.121264E-11
  1.750000E+05  2.672289E-11
  2.000000E+05  2.336216E-11
  2.200000E+05  2.122659E-11
  2.500000E+05  1.866689E-11
  3.000000E+05  1.554313E-11
  3.500000E+05  1.331493E-11
  4.000000E+05  1.164547E-11
  4.500000E+05  1.034800E-11
  5.000000E+05  9.310667E-12
  5.500000E+05  8.462352E-12
  6.000000E+05  7.755707E-12
  7.000000E+05  6.645810E-12
  8.000000E+05  5.813804E-12
  9.000000E+05  5.166936E-12
  1.000000E+06  4.649608E-12
EndElement
Element    Li    3     6.941000
Range      1.000000E+00 1.000000E+06
Npoints    156
Data
  1.000000E+00  2.151113E+02
  1.100000E+00  1.605077E+02
  1.250000E+00  1.080749E+02
  1.400000E+00  7.591160E+01
  1.500000E+00  6.119392E+01
  1.750000E+00  3.769751E+01
  2.000000E+00  2.468340E+01
  2.200000E+00  1.821010E+01
  2.500000E+00  1.207881E+01
  2.738610E+00  8.985752E+00
  3.000000E+00  6.702727E+00
  3.500000E+00  4.064082E+00
  4.000000E+00  2.627227E+00
  4.500000E+00  1.784674E+00
  5.000000E+00  1.261648E+00
  5.500000E+00  9.214370E-01
  6.000000E+00  6.909949E-01
  6.480740E+00  5.345225E-01
  7.000000E+00  4.142055E-01
  8.000000E+00  2.655538E-01
  9.000000E+00  1.792335E-01
  1.000000E+01  1.259800E-01
  1.100000E+01  9.152682E-02
  1.250000E+01  5.958284E-02
  1.400000E+01  4.069322E-02
  1.500000E+01  3.225199E-02
  1.620190E+01  2.483758E-02
  1.750000E+01  1.917159E-02
  2.000000E+01  1.220722E-02
  2.200000E+01  8.841294E-03
  2.500000E+01  5.733423E-03
  2.738610E+01  4.200142E-03
  2.866330E+01  3.599654E-03
  3.000000E+01  3.088800E-03
  3.500000E+01  1.829929E-03
  3.741660E+01  1.457712E-03
  4.000000E+01  1.162461E-03
  4.500000E+01  7.789740E-04
  5.000000E+01  5.445148E-04
  5.500000E+01  3.938815E-04
  6.000000E+01  2.931024E-04
  6.480740E+01  2.253492E-04
  7.000000E+01  1.737198E-04
  8.000000E+01  1.105068E-04
  9.000000E+01  7.420837E-05
  1.000000E+02  5.201521E-05
  1.100000E+02  3.774904E-05
  1.172600E+02  3.044838E-05
  1.250000E+02  2.459673E-05
  1.400000E+02  1.685722E-05
  1.500000E+02  1.340766E-05
  1.620190E+02  1.038010E-05
  1.750000E+02  8.067031E-06
  1.870830E+02  6.485085E-06
  2.000000E+02  5.220001E-06
  2.200000E+02  3.838701E-06
  2.345210E+02  3.128294E-06
  2.500000E+02  2.555111E-06
  2.738610E+02  1.916049E-06
  2.866330E+02  1.663789E-06
  3.000000E+02  1.447873E-06
  3.240370E+02  1.144875E-06
  3.367680E+02  1.019218E-06
  3.500000E+02  9.084141E-07
  3.741660E+02  7.454935E-07
  3.868670E+02  6.763556E-07
  4.000000E+02  6.142618E-07
  4.242640E+02  5.190147E-07
  4.500000E+02  4.398098E-07
  4.743420E+02  3.801098E-07
  5.000000E+02  3.293810E-07
  5.244040E+02  2.899147E-07
  5.500000E+02  2.557436E-07
  5.744560E+02  2.284934E-07
  6.000000E+02  2.045090E-07
  6.235740E+02  1.855923E-07
  6.480740E+02  1.686833E-07
  6.735370E+02  1.536197E-07
  7.000000E+02  1.401542E-07
  7.483310E+02  1.198745E-07
  7.737350E+02  1.110465E-07
  8.000000E+02  1.029915E-07
  8.485280E+02  9.040499E-08
  9.000000E+02  7.965355E-08
  9.486830E+02  7.131600E-08
  1.000000E+03  6.402609E-08
  1.048810E+03  5.820194E-08
  1.100000E+03  5.301939E-08
  1.172600E+03  4.692472E-08
  1.250000E+03  4.168942E-08
  1.322880E+03  3.763634E-08
  1.400000E+03  3.406548E-08
  1.500000E+03  3.026731E-08
  1.558930E+03  2.836983E-08
  1.620190E+03  2.661941E-08
  1.683840E+03  2.500650E-08
  1.750000E+03  2.351593E-08
  1.870830E+03  2.117744E-08
  2.000000E+03  1.912032E-08
  2.097620E+03  1.780067E-08
  2.200000E+03  1.659130E-08
  2.345210E+03  1.512164E-08
  2.500000E+03  1.380850E-08
  2.738610E+03  1.216115E-08
  3.000000E+03  1.074979E-08
  3.240370E+03  9.703880E-09
  3.500000E+03  8.776135E-09
  3.741660E+03  8.054962E-09
  4.000000E+03  7.402626E-09
  4.500000E+03  6.394193E-09
  5.000000E+03  5.623591E-09
  5.500000E+03  5.016250E-09
  6.000000E+03  4.525664E-09
  6.480740E+03  4.135209E-09
  7.000000E+03  3.782583E-09
  8.000000E+03  3.247123E-09
  9.000000E+03  2.843351E-09
  1.000000E+04  2.528223E-09
  1.100000E+04  2.275555E-09
  1.250000E+04  1.978439E-09
  1.400000E+04  1.749631E-09
  1.500000E+04  1.624260E-09
  1.750000E+04  1.377284E-09
  2.000000E+04  1.195309E-09
  2.200000E+04  1.080975E-09
  2.500000E+04  9.452531E-10
  3.000000E+04  7.815934E-10
  3.500000E+04  6.661845E-10
  4.000000E+04  5.804455E-10
  4.500000E+04  5.142436E-10
  5.000000E+04  4.615879E-10
  5.500000E+04  4.187084E-10
  6.000000E+04  3.831152E-10
  7.000000E+04  3.274384E-10
  8.000000E+04  2.858873E-10
  9.000000E+04  2.536917E-10
  1.000000E+05  2.280128E-10
  1.100000E+05  2.070528E-10
  1.250000E+05  1.819630E-10
  1.400000E+05  1.622950E-10
  1.500000E+05  1.513864E-10
  1.750000E+05  1.296075E-10
  2.000000E+05  1.133067E-10
  2.200000E+05  1.029482E-10
  2.500000E+05  9.053253E-11
  3.000000E+05  7.538139E-11
  3.500000E+05  6.457434E-11
  4.000000E+05  5.647737E-11
  4.500000E+05  5.018471E-11
  5.000000E+05  4.515373E-11
  5.500000E+05  4.103958E-11
  6.000000E+05  3.761248E-11
  7.000000E+05  3.222960E-11
  8.000000E+05  2.819465E-11
  9.000000E+05  2.505752E-11
  1.000000E+06  2.254863E-11
EndElement
Element    Be    4     9.012200
Range      1.000000E+00 1.000000E+06
Npoints    155
Data
  1.000000E+00  5.652274E+02
  1.100000E+00  4.264452E+02
  1.250000E+00  2.912895E+02
  1.400000E+00  2.073029E+02
  1.500000E+00  1.682914E+02
  1.750000E+00  1.052461E+02
  2.000000E+00  6.983443E+01
  2.200000E+00  5.199567E+01
  2.500000E+00  3.491822E+01
  2.738610E+00  2.620027E+01
  3.000000E+00  1.969140E+01
  3.500000E+00  1.208023E+01
  4.000000E+00  7.889484E+00
  4.500000E+00  5.406729E+00
  5.000000E+00  3.849801E+00
  5.500000E+00  2.828198E+00
  6.000000E+00  2.131979E+00
  6.480740E+00  1.656947E+00
  7.000000E+00  1.289740E+00
  8.000000E+00  8.327837E-01
  9.000000E+00  5.653897E-01
  1.000000E+01  3.994210E-01
  1.100000E+01  2.914439E-01
  1.250000E+01  1.907610E-01
  1.400000E+01  1.308791E-01
  1.500000E+01  1.040106E-01
  1.620190E+01  8.033419E-02
  1.750000E+01  6.217522E-02
  2.000000E+01  3.977010E-02
  2.200000E+01  2.889327E-02
  2.500000E+01  1.881002E-02
  2.738610E+01  1.381700E-02
  2.866330E+01  1.185678E-02
  3.000000E+01  1.018643E-02
  3.500000E+01  6.059367E-03
  4.000000E+01  3.861856E-03
  4.500000E+01  2.594923E-03
  5.000000E+01  1.818069E-03
  5.500000E+01  1.317745E-03
  6.000000E+01  9.822915E-04
  6.480740E+01  7.563660E-04
  7.000000E+01  5.838901E-04
  8.000000E+01  3.722933E-04
  9.000000E+01  2.504906E-04
  1.000000E+02  1.758644E-04
  1.100000E+02  1.278100E-04
  1.172600E+02  1.031847E-04
  1.250000E+02  8.342671E-05
  1.400000E+02  5.726012E-05
  1.500000E+02  4.558129E-05
  1.620190E+02  3.532149E-05
  1.750000E+02  2.747404E-05
  1.870830E+02  2.210234E-05
  2.000000E+02  1.780308E-05
  2.200000E+02  1.310435E-05
  2.345210E+02  1.068559E-05
  2.500000E+02  8.732646E-06
  2.738610E+02  6.553657E-06
  2.866330E+02  5.692888E-06
  3.000000E+02  4.955780E-06
  3.240370E+02  3.920860E-06
  3.367680E+02  3.491461E-06
  3.500000E+02  3.112680E-06
  3.741660E+02  2.555511E-06
  3.868670E+02  2.318967E-06
  4.000000E+02  2.106460E-06
  4.242640E+02  1.780395E-06
  4.500000E+02  1.509130E-06
  4.743420E+02  1.304588E-06
  5.000000E+02  1.130730E-06
  5.244040E+02  9.954220E-07
  5.500000E+02  8.782361E-07
  5.744560E+02  7.847654E-07
  6.000000E+02  7.024739E-07
  6.235740E+02  6.375556E-07
  6.480740E+02  5.795186E-07
  6.735370E+02  5.278037E-07
  7.000000E+02  4.815661E-07
  7.483310E+02  4.119215E-07
  7.737350E+02  3.815983E-07
  8.000000E+02  3.539272E-07
  8.485280E+02  3.106813E-07
  9.000000E+02  2.737327E-07
  9.486830E+02  2.450754E-07
  1.000000E+03  2.200171E-07
  1.048810E+03  1.999959E-07
  1.100000E+03  1.821784E-07
  1.172600E+03  1.612237E-07
  1.250000E+03  1.432211E-07
  1.322880E+03  1.292834E-07
  1.400000E+03  1.170042E-07
  1.500000E+03  1.039431E-07
  1.558930E+03  9.741859E-08
  1.620190E+03  9.139993E-08
  1.683840E+03  8.585369E-08
  1.750000E+03  8.072911E-08
  1.870830E+03  7.268841E-08
  2.000000E+03  6.561522E-08
  2.097620E+03  6.107914E-08
  2.200000E+03  5.692240E-08
  2.345210E+03  5.187159E-08
  2.500000E+03  4.735916E-08
  2.738610E+03  4.169912E-08
  3.000000E+03  3.685098E-08
  3.240370E+03  3.325889E-08
  3.500000E+03  3.007328E-08
  3.741660E+03  2.759753E-08
  4.000000E+03  2.535845E-08
  4.500000E+03  2.189787E-08
  5.000000E+03  1.925432E-08
  5.500000E+03  1.717134E-08
  6.000000E+03  1.548923E-08
  6.480740E+03  1.415078E-08
  7.000000E+03  1.294217E-08
  8.000000E+03  1.110750E-08
  9.000000E+03  9.724419E-09
  1.000000E+04  8.645242E-09
  1.100000E+04  7.780230E-09
  1.250000E+04  6.763198E-09
  1.400000E+04  5.980223E-09
  1.500000E+04  5.551299E-09
  1.750000E+04  4.706427E-09
  2.000000E+04  4.084100E-09
  2.200000E+04  3.693123E-09
  2.500000E+04  3.229138E-09
  3.000000E+04  2.669716E-09
  3.500000E+04  2.275306E-09
  4.000000E+04  1.982331E-09
  4.500000E+04  1.756145E-09
  5.000000E+04  1.576253E-09
  5.500000E+04  1.429779E-09
  6.000000E+04  1.308196E-09
  7.000000E+04  1.118027E-09
  8.000000E+04  9.761171E-10
  9.000000E+04  8.661614E-10
  1.000000E+05  7.784707E-10
  1.100000E+05  7.068976E-10
  1.250000E+05  6.212243E-10
  1.400000E+05  5.540695E-10
  1.500000E+05  5.168228E-10
  1.750000E+05  4.424611E-10
  2.000000E+05  3.868050E-10
  2.200000E+05  3.514394E-10
  2.500000E+05  3.090542E-10
  3.000000E+05  2.573279E-10
  3.500000E+05  2.204341E-10
  4.000000E+05  1.927924E-10
  4.500000E+05  1.713105E-10
  5.000000E+05  1.541358E-10
  5.500000E+05  1.400912E-10
  6.000000E+05  1.283920E-10
  7.000000E+05  1.100172E-10
  8.000000E+05  9.624319E-11
  9.000000E+05  8.553428E-11
  1.000000E+06  7.696970E-11
EndElement
Element    B     5    10.810000
Range      1.000000E+00 1.000000E+06
Npoints    155
Data
  1.000000E+00  1.162546E+03
  1.100000E+00  8.835723E+02
  1.250000E+00  6.098852E+02
  1.400000E+00  4.375038E+02
  1.500000E+00  3.569564E+02
  1.750000E+00  2.258303E+02
  2.000000E+00  1.513190E+02
  2.200000E+00  1.134770E+02
  2.500000E+00  7.696028E+01
  2.738610E+00  5.814792E+01
  3.000000E+00  4.399305E+01
  3.500000E+00  2.729166E+01
  4.000000E+00  1.798793E+01
  4.500000E+00  1.242121E+01
  5.000000E+00  8.902685E+00
  5.500000E+00  6.577281E+00
  6.000000E+00  4.983257E+00
  6.480740E+00  3.889913E+00
  7.000000E+00  3.040167E+00
  8.000000E+00  1.976622E+00
  9.000000E+00  1.349634E+00
  1.000000E+01  9.581165E-01
  1.100000E+01  7.020446E-01
  1.250000E+01  4.619617E-01
  1.400000E+01  3.183629E-01
  1.500000E+01  2.536569E-01
  1.620190E+01  1.964733E-01
  1.750000E+01  1.524671E-01
  2.000000E+01  9.795978E-02
  2.200000E+01  7.138159E-02
  2.500000E+01  4.664858E-02
  2.738610E+01  3.435662E-02
  2.866330E+01  2.951902E-02
  3.000000E+01  2.539032E-02
  3.500000E+01  1.516304E-02
  4.000000E+01  9.694866E-03
  4.500000E+01  6.531600E-03
  5.000000E+01  4.586543E-03
  5.500000E+01  3.330790E-03
  6.000000E+01  2.487100E-03
  6.480740E+01  1.917871E-03
  7.000000E+01  1.482561E-03
  8.000000E+01  9.474594E-04
  9.000000E+01  6.386812E-04
  1.000000E+02  4.491241E-04
  1.100000E+02  3.268496E-04
  1.172600E+02  2.641118E-04
  1.250000E+02  2.137191E-04
  1.400000E+02  1.468990E-04
  1.500000E+02  1.170351E-04
  1.620190E+02  9.077444E-05
  1.750000E+02  7.066628E-05
  1.870830E+02  5.689001E-05
  2.000000E+02  4.585507E-05
  2.200000E+02  3.378393E-05
  2.345210E+02  2.756458E-05
  2.500000E+02  2.253941E-05
  2.738610E+02  1.692829E-05
  2.866330E+02  1.471018E-05
  3.000000E+02  1.280978E-05
  3.240370E+02  1.014026E-05
  3.367680E+02  9.032152E-06
  3.500000E+02  8.054293E-06
  3.741660E+02  6.615330E-06
  3.868670E+02  6.004147E-06
  4.000000E+02  5.454956E-06
  4.242640E+02  4.612007E-06
  4.500000E+02  3.910442E-06
  4.743420E+02  3.381251E-06
  5.000000E+02  2.931262E-06
  5.244040E+02  2.580964E-06
  5.500000E+02  2.277500E-06
  5.744560E+02  2.035367E-06
  6.000000E+02  1.822152E-06
  6.235740E+02  1.653916E-06
  6.480740E+02  1.503491E-06
  6.735370E+02  1.369421E-06
  7.000000E+02  1.249530E-06
  7.483310E+02  1.068905E-06
  7.737350E+02  9.902494E-07
  8.000000E+02  9.184572E-07
  8.485280E+02  8.062538E-07
  9.000000E+02  7.103731E-07
  9.486830E+02  6.359905E-07
  1.000000E+03  5.709446E-07
  1.048810E+03  5.189665E-07
  1.100000E+03  4.727102E-07
  1.172600E+03  4.183003E-07
  1.250000E+03  3.715544E-07
  1.322880E+03  3.353630E-07
  1.400000E+03  3.034780E-07
  1.500000E+03  2.695596E-07
  1.558930E+03  2.526157E-07
  1.620190E+03  2.369866E-07
  1.683840E+03  2.225863E-07
  1.750000E+03  2.092786E-07
  1.870830E+03  1.884016E-07
  2.000000E+03  1.700394E-07
  2.097620E+03  1.582648E-07
  2.200000E+03  1.474762E-07
  2.345210E+03  1.343678E-07
  2.500000E+03  1.226584E-07
  2.738610E+03  1.079729E-07
  3.000000E+03  9.539717E-08
  3.240370E+03  8.608096E-08
  3.500000E+03  7.782099E-08
  3.741660E+03  7.140275E-08
  4.000000E+03  6.559844E-08
  4.500000E+03  5.663096E-08
  5.000000E+03  4.978255E-08
  5.500000E+03  4.438797E-08
  6.000000E+03  4.003253E-08
  6.480740E+03  3.656765E-08
