; GeoPIXE tabulated mass attenuation coefficients.
; Chantler FFAST photo-absorption, via the xraydb package.
; Source: NIST FFAST, C.T. Chantler et al.
; Photoabsorption only; excludes coherent/incoherent scattering.
; Unlike XCOM and Scofield this set extends below 1 keV, which
; is the whole light-element range. Requests outside the
; per-element Range must be refused, not extrapolated.
;
Dataset    FFAST
Reference  C.T. Chantler, J. Phys. Chem. Ref. Data 24 (1995) 71; 29 (2000) 597; NIST FFAST
Quantity   photoelectric mass attenuation coefficient
Units      keV cm2/g
Elements   92
;
; Edge discontinuities are encoded as repeated abscissae:
; two rows with near-identical energy bracket a jump. Never
; interpolate across such a pair.
;
Element    H     1     1.007800
Range      1.005907E-02 2.998741E+01
Npoints    807
Data
  3.209183E-01  2.900900E+02
  3.241274E-01  2.809500E+02
  3.273687E-01  2.721000E+02
  3.306424E-01  2.635300E+02
  3.339488E-01  2.552200E+02
  3.372883E-01  2.471700E+02
  3.406612E-01  2.393700E+02
  3.440678E-01  2.318100E+02
  3.475085E-01  2.244900E+02
  3.509835E-01  2.174000E+02
  3.544934E-01  2.105200E+02
  3.580383E-01  2.038700E+02
  3.616187E-01  1.974200E+02
  3.652349E-01  1.911700E+02
  3.688872E-01  1.851100E+02
  3.725761E-01  1.792500E+02
  3.763018E-01  1.735700E+02
  3.800649E-01  1.680700E+02
  3.838655E-01  1.627400E+02
  3.877042E-01  1.575700E+02
  3.915812E-01  1.525700E+02
  3.954970E-01  1.477300E+02
  3.994520E-01  1.430300E+02
  4.034465E-01  1.384900E+02
  4.074810E-01  1.340900E+02
  4.115557E-01  1.298200E+02
  4.156713E-01  1.256900E+02
  4.198280E-01  1.216900E+02
  4.240263E-01  1.178100E+02
  4.282666E-01  1.140600E+02
  4.325492E-01  1.104300E+02
  4.368747E-01  1.069100E+02
  4.412434E-01  1.035000E+02
  4.456559E-01  1.001900E+02
  4.501124E-01  9.699600E+01
  4.546135E-01  9.389900E+01
  4.591597E-01  9.089900E+01
  4.637513E-01  8.799500E+01
